decade,genres,count
1980s,dominican pop,126
1980s,industrial,126
1980s,j-rock,126
1980s,nashville sound,126
1980s,chicha,125
1980s,folk rock italiano,125
1980s,sertanejo universitario,125
1980s,cumbia uruguaya,124
1980s,gangster rap,123
1980s,hardcore hip hop,123
1980s,svensk progg,122
1980s,anadolu rock,120
1980s,scottish rock,120
1980s,soul jazz,120
1980s,britpop,119
1980s,muziek voor kinderen,119
1980s,pop rock brasileiro,119
1980s,ska revival,119
1980s,boogaloo,118
1980s,french reggae,118
1980s,samba de roda,118
1980s,athens indie,117
1980s,blues,117
1980s,early us punk,117
1980s,shoegaze,117
1980s,post-romantic era,116
1980s,techno kayo,115
1980s,violin,115
1980s,mexican pop,114
1980s,mollywood,114
1980s,show tunes,114
1980s,russian post-punk,113
1980s,children's music,112
1980s,operatic pop,112
1980s,german orchestra,111
1980s,taiwan singer-songwriter,111
1980s,jazz guitar,110
1980s,world worship,110
1980s,bow pop,109
1980s,canadian singer-songwriter,109
1980s,hungarian classical performance,108
1980s,sertanejo tradicional,108
1980s,finnish new wave,107
1980s,chamber orchestra,106
1980s,chinderlieder,106
1980s,country road,105
1980s,cumbia,105
1980s,charango,104
1980s,birmingham metal,103
1980s,indie rock,103
1980s,modern rock,103
1980s,barnemusikk,100
1980s,argentine indie,99
1980s,texas country,99
1980s,compositional ambient,98
1980s,hungarian classical piano,98
1980s,italian baroque,98
1980s,japanese rockabilly,98
1980s,philly soul,98
1980s,rap rock,97
1980s,classic russian pop,96
1980s,croatian rock,96
1980s,merengue tipico,96
1980s,minimalism,96
1980s,noise pop,96
1980s,thai folk rock,96
1980s,contemporary country,95
1980s,fourth world,95
1980s,french synthpop,95
1980s,jazz piano,95
1980s,uk reggae,95
1980s,classic soundtrack,94
1980s,dark wave,94
1980s,jazz saxophone,94
1980s,norske viser,94
1980s,rogaland musikk,94
1980s,skansk musik,94
1980s,broadway,93
1980s,detske pesnicky,93
1980s,reggae fusion,93
1980s,alternative country,92
1980s,barnmusik,92
1980s,bebop,92
1980s,christelijk,92
1980s,phleng phuea chiwit,92
1980s,bulgarian rock,91
1980s,merseybeat,91
1980s,afropop,90
1980s,hip house,90
1980s,west end,90
1980s,kabarett,89
1980s,malaysian pop,89
1980s,spanish metal,89
1980s,vintage french electronic,89
1980s,chinese indie,88
1980s,rock drums,88
1980s,country dawn,87
1980s,lo-fi,87
1980s,thai pop,87
1980s,classic czech pop,86
1980s,classic venezuelan pop,86
1980s,chamame,85
1980s,classical soprano,85
1980s,grunge,85
1980s,instrumental rock,85
1980s,russian folk rock,85
1980s,hard bop,84
1980s,hip pop,84
1980s,classic hungarian rock,83
1980s,early modern classical,82
1980s,post-hardcore,82
1980s,volksmusik,82
1980s,cumbia peruana,81
1980s,ethereal wave,81
1980s,jovem guarda,81
1980s,j-poprock,80
1980s,narodna muzika,80
1980s,swedish jazz,80
1980s,swing,80
1980s,tipico,80
1980s,austrian orchestra,79
1980s,scottish indie,79
1980s,classic arab pop,78
1980s,finnish dance pop,78
1980s,finnish hard rock,78
1980s,big band,77
1980s,german punk,77
1980s,industrial rock,77
1980s,polish classical,77
1980s,rock urbano mexicano,77
1980s,vallenato,77
1980s,funk metal,76
1980s,pop flamenco,76
1980s,vintage cantonese pop,76
1980s,bachata,75
1980s,punk tuga,75
1980s,turkish instrumental,75
1980s,hollywood,74
1980s,j-metal,74
1980s,new americana,74
1980s,umbanda,74
1980s,worship,74
1980s,lovers rock,73
1980s,mexican rock,73
1980s,plena uruguaya,73
1980s,punk blues,73
1980s,italian alternative,72
1980s,english baroque,71
1980s,ye ye,71
1980s,barnalog,70
1980s,gospel antigas,70
1980s,keroncong,70
1980s,musica popular colombiana,70
1980s,classic peruvian pop,69
1980s,experimental rock,69
1980s,german alternative rock,69
1980s,arab pop,68
1980s,classic praise,68
1980s,jangle pop,68
1980s,shred,68
1980s,sleep,68
1980s,canadian pop,67
1980s,christian relaxative,66
1980s,hungarian rock,65
1980s,indian classical,65
1980s,magyar alternative,65
1980s,melodic hard rock,65
1980s,rock baiano,65
1980s,rock gaucho,65
1980s,rock keyboard,65
1980s,rock steady,65
1980s,samba-enredo,65
1980s,turbo folk,65
1980s,brazilian punk,64
1980s,musica de intervencao,64
1980s,musica tradicional cubana,64
1980s,protopunk,64
1980s,sevdah,64
1980s,swedish post-punk,64
1980s,violao,64
1980s,children's folk,63
1980s,classic belgian pop,63
1980s,greek guitar,63
1980s,memphis soul,63
1980s,neo-progressive,63
1980s,norwegian indie,63
1980s,nu gaze,63
1980s,swedish country,63
1980s,australian country,62
1980s,classic polish pop,62
1980s,modern blues,62
1980s,peruvian rock,62
1980s,southern rock,62
1980s,baroque pop,61
1980s,classic danish rock,61
1980s,classical tenor,61
1980s,gbvfi,61
1980s,girl group,61
1980s,punk euskera,61
1980s,soul blues,61
1980s,classic french pop,60
1980s,bulgarian pop,59
1980s,children's choir,59
1980s,deep turkish pop,59
1980s,psalmen,59
1980s,sleaze rock,59
1980s,ambient,58
1980s,bouzouki,58
1980s,comic,58
1980s,euskal rock,58
1980s,impressionism,58
1980s,black thrash,57
1980s,boy band,57
1980s,freestyle,57
1980s,jam band,57
1980s,bolero cubano,56
1980s,brazilian jazz,56
1980s,canadian children's music,56
1980s,dutch cabaret,56
1980s,ebm,56
1980s,galician rock,56
1980s,japanese heavy metal,56
1980s,lagu sunda,56
1980s,malaysian indie,56
1980s,polyphony,56
1980s,barnasogur,55
1980s,chanson quebecois,55
1980s,choro,55
1980s,french soundtrack,55
1980s,mod revival,55
1980s,mundart,55
1980s,oi,55
1980s,romanian rock,55
1980s,uk doom metal,55
1980s,black metal,54
1980s,opm,54
1980s,us power metal,54
1980s,australian dance,53
1980s,finnish punk,53
1980s,kurdish pop,53
1980s,latin worship,53
1980s,stoner rock,53
1980s,vintage taiwan pop,53
1980s,forro,52
1980s,jazz trumpet,52
1980s,thrash core,52
1980s,early music choir,51
1980s,modern reggae,51
1980s,musica llanera,51
1980s,scorecore,51
1980s,swiss indie,51
1980s,vintage dutch pop,51
1980s,alternative pop,50
1980s,classical mezzo-soprano,50
1980s,muzika l'yeladim,50
1980s,proto-techno,50
1980s,rautalanka,50
1980s,sefardi,50
1980s,conscious hip hop,49
1980s,double drumming,49
1980s,french romanticism,49
1980s,sertanejo pop,49
1980s,vintage schlager,49
1980s,anime,48
1980s,baglama,48
1980s,detroit rock,48
1980s,dutch classical piano,48
1980s,noise rock,48
1980s,spanish rock,48
1980s,synthesizer,48
1980s,yugoslav new wave,48
1980s,arkansas country,47
1980s,freak folk,47
1980s,hong kong rock,47
1980s,industrial metal,47
1980s,kurdish folk,47
1980s,psicodelia brasileira,47
1980s,rennes indie,47
1980s,classic bulgarian pop,46
1980s,classic colombian pop,46
1980s,musica alagoana,46
1980s,portuguese jazz,46
1980s,samba moderno,46
1980s,tango,46
1980s,arab folk,45
1980s,argentine heavy metal,45
1980s,argentine reggae,45
1980s,chilean rock,45
1980s,dance-punk,45
1980s,indie folk,45
1980s,japanese jazz,45
1980s,jazz blues,45
1980s,kurdish rock,45
1980s,lebanese pop,45
1980s,pakistani pop,45
1980s,brazilian soul,44
1980s,british soul,44
1980s,candy pop,44
1980s,classic nz pop,44
1980s,ecm-style jazz,44
1980s,german heavy metal,44
1980s,groove metal,44
1980s,irish country,44
1980s,italian new wave,44
1980s,romanian folk,44
1980s,russian pop,44
1980s,tamil pop,44
1980s,gospel,43
1980s,horror punk,43
1980s,japanese soundtrack,43
1980s,nwothm,43
1980s,traditional blues,43
1980s,contemporary post-bop,42
1980s,instrumental surf,42
1980s,mambo,42
1980s,pop nacional,42
1980s,rock andaluz,42
1980s,bachata dominicana,41
1980s,boston rock,41
1980s,coco,41
1980s,cypriot pop,41
1980s,glam punk,41
1980s,italian metal,41
1980s,nouvelle chanson francaise,41
1980s,punk galego,41
1980s,stride,41
1980s,torch song,41
1980s,turkish rock,41
1980s,west coast rap,41
1980s,brazilian boogie,40
1980s,brazilian gospel,40
1980s,brazilian hip hop,40
1980s,country gospel,40
1980s,harp,40
1980s,kiwi rock,40
1980s,new age piano,40
1980s,russian romanticism,40
1980s,swedish hard rock,40
1980s,anti-folk,39
1980s,belgian new wave,39
1980s,british industrial,39
1980s,bush ballad,39
1980s,classic opm,39
1980s,danish rock,39
1980s,dark post-punk,39
1980s,early avant garde,39
1980s,forro tradicional,39
1980s,honky tonk,39
1980s,judaica,39
1980s,british soundtrack,38
1980s,comic metal,38
1980s,cumbia ranchera,38
1980s,cyberpunk,38
1980s,harpsichord,38
1980s,israeli classical piano,38
1980s,italian pop rock,38
1980s,minimal wave,38
1980s,rock brasiliense,38
1980s,bozlak,37
1980s,czech rock,37
1980s,latin arena pop,37
1980s,musica aragonesa,37
1980s,musica popular mineira,37
1980s,puerto rican pop,37
1980s,queens hip hop,37
1980s,brega,36
1980s,folkmusik,36
1980s,hindustani classical,36
1980s,musique pour enfants,36
1980s,pakistani folk,36
1980s,smooth saxophone,36
1980s,south african jazz,36
1980s,vintage tango,36
1980s,argentine metal,35
1980s,british folk,35
1980s,c86,35
1980s,crossover thrash,35
1980s,hard rock brasileiro,35
1980s,huayno,35
1980s,musica infantil,35
1980s,new jersey hardcore,35
1980s,new jersey punk,35
1980s,polish blues,35
1980s,polish rock,35
1980s,punk 'n' roll,35
1980s,thai instrumental,35
1980s,copla,34
1980s,khaliji,34
1980s,messianic praise,34
1980s,ska punk,34
1980s,vintage swedish pop,34
1980s,candombe,33
1980s,classic australian country,33
1980s,contemporary jazz,33
1980s,french indie pop,33
1980s,italian classical piano,33
1980s,japanese classical,33
1980s,marathi traditional,33
1980s,neo-trad metal,33
1980s,qawwali,33
1980s,straight edge,33
1980s,afrikaans,32
1980s,american orchestra,32
1980s,brazilian metal,32
1980s,bubblegum dance,32
1980s,classical bass,32
1980s,cosmic american,32
1980s,doo-wop,32
1980s,folclore santiagueno,32
1980s,greek contemporary classical,32
1980s,hengelliset laulut,32
1980s,icelandic folk,32
1980s,indonesian psychedelia,32
1980s,kindermusik,32
1980s,latin classical,32
1980s,mande pop,32
1980s,polish pop,32
1980s,rock piauiense,32
1980s,visual kei,32
1980s,auteur-compositeur-interprete quebecois,31
1980s,canadian indie,31
1980s,canadian rock,31
1980s,celtic punk,31
1980s,charanga,31
1980s,christian music,31
1980s,folk punk,31
1980s,indian fusion,31
1980s,italian opera,31
1980s,japanese r&b,31
1980s,metal guitar,31
1980s,musica para criancas,31
1980s,salsa venezolana,31
1980s,spanish pop rock,31
1980s,baiao,30
1980s,belgian rock,30
1980s,brit funk,30
1980s,chinese audiophile,30
1980s,french classical piano,30
1980s,garage psych,30
1980s,italian romanticism,30
1980s,kolsche karneval,30
1980s,nisiotika,30
1980s,spanish synthpop,30
1980s,sung poetry,30
1980s,texas blues,30
1980s,trondersk musikk,30
1980s,vlaamse cabaret,30
1980s,electropop,29
1980s,eventyr,29
1980s,experimental ambient,29
1980s,hong kong indie,29
1980s,musica maranhense,29
1980s,musica para ninos,29
1980s,austrian choir,28
1980s,austrian jazz,28
1980s,boogie,28
1980s,christian metal,28
1980s,deep disco,28
1980s,folclore tucumano,28
1980s,icelandic jazz,28
1980s,south african pop,28
1980s,uk82,28
1980s,belgian singer-songwriter,27
1980s,bluegrass,27
1980s,chamber choir,27
1980s,corrosion,27
1980s,hungarian folk,27
1980s,jazz rock,27
1980s,neoclassicism,27
1980s,oklahoma country,27
1980s,rock alternatif francais,27
1980s,samba-jazz,27
1980s,vintage italian soundtrack,27
1980s,african rock,26
1980s,azeri traditional,26
1980s,bard,26
1980s,blaskapelle,26
1980s,bornesange,26
1980s,cante flamenco,26
1980s,classic dutch pop,26
1980s,cumbia sonidera,26
1980s,deathrash,26
1980s,enka,26
1980s,flamenco guitar,26
1980s,french punk,26
1980s,latin american classical piano,26
1980s,no wave,26
1980s,norwegian gospel,26
1980s,ostrock,26
1980s,oyun havasi,26
1980s,synth punk,26
1980s,arabic jazz,25
1980s,autonomous black metal,25
1980s,brazilian reggae,25
1980s,brazilian thrash metal,25
1980s,carnatic vocal,25
1980s,german soundtrack,25
1980s,hammond organ,25
1980s,indonesian rock,25
1980s,italian tenor,25
1980s,pagan black metal,25
1980s,pop argentino,25
1980s,pop rap,25
1980s,popping,25
1980s,rhythm and blues,25
1980s,swedish black metal,25
1980s,swedish metal,25
1980s,swedish soul,25
1980s,swiss hip hop,25
1980s,viking black metal,25
1980s,viking metal,25
1980s,acoustic punk,24
1980s,ambient pop,24
1980s,argentine punk,24
1980s,avant-garde,24
1980s,brazilian classical,24
1980s,bronx hip hop,24
1980s,carnatic,24
1980s,classic korean pop,24
1980s,classical organ,24
1980s,french indietronica,24
1980s,german power metal,24
1980s,mpb gospel,24
1980s,musica sarda,24
1980s,old school dancehall,24
1980s,russian modern classical,24
1980s,american modern classical,23
1980s,australian children's music,23
1980s,bakersfield sound,23
1980s,belgian contemporary classical,23
1980s,bolero mexicano,23
1980s,christian power metal,23
1980s,christian rock,23
1980s,meditation,23
1980s,northern soul,23
1980s,post-disco soul,23
1980s,post-minimalism,23
1980s,preschool children's music,23
1980s,russian metal,23
1980s,trip hop,23
1980s,a cappella,22
1980s,baroque violin,22
1980s,canadian blues,22
1980s,classic house,22
1980s,classical baritone,22
1980s,deathrock,22
1980s,electronica,22
1980s,israeli pop,22
1980s,japanese classical performance,22
1980s,latvian pop,22
1980s,melodic thrash,22
1980s,musica tradicional dominicana,22
1980s,political hip hop,22
1980s,portland punk,22
1980s,psychobilly,22
1980s,spanish invasion,22
1980s,swamp rock,22
1980s,swedish melodic rock,22
1980s,vocal harmony group,22
1980s,afro soul,21
1980s,australian indigenous,21
1980s,avant-garde jazz,21
1980s,british black metal,21
1980s,comptine,21
1980s,contemporary classical,21
1980s,contemporary gospel,21
1980s,drone,21
1980s,hangoskonyvek,21
1980s,indonesian jazz,21
1980s,musique pour enfant quebecois,21
1980s,parody,21
1980s,polish alternative,21
1980s,punk urbano,21
1980s,russian classical piano,21
1980s,acid house,20
1980s,canadian choir,20
1980s,cha-cha-cha,20
1980s,chicago blues,20
1980s,classical flute,20
1980s,cuban rumba,20
1980s,danish alternative rock,20
1980s,deep christian rock,20
1980s,deep new wave,20
1980s,deep soft rock,20
1980s,electronic rock,20
1980s,flute rock,20
1980s,french opera,20
1980s,galante era,20
1980s,musica de fondo,20
1980s,oberkrainer,20
1980s,outsider,20
1980s,rap metal,20
1980s,spanish prog,20
1980s,streektaal,20
1980s,tamil devotional,20
1980s,trova mexicana,20
1980s,alternative hip hop,19
1980s,banda,19
1980s,classic punjabi pop,19
1980s,country quebecois,19
1980s,cowpunk,19
1980s,cumbia chilena,19
1980s,fo jing,19
1980s,gregorian chant,19
1980s,hardcore,19
1980s,japanese jazz fusion,19
1980s,kannada bhava geethe,19
1980s,kingston on indie,19
1980s,krautrock,19
1980s,lithuanian pop,19
1980s,nyhc,19
1980s,ontario indie,19
1980s,paisley underground,19
1980s,socal pop punk,19
1980s,swiss rock,19
1980s,taiwan pop,19
1980s,turkish hip hop,19
1980s,turntablism,19
1980s,zouk,19
1980s,american contemporary classical,18
1980s,british modern classical,18
1980s,croatian indie,18
1980s,crust punk,18
1980s,dainuojamoji poezija,18
1980s,electro-industrial,18
1980s,hungarian punk,18
1980s,indie punk,18
1980s,indie quebecois,18
1980s,indie r&b,18
1980s,lullaby,18
1980s,manguebeat,18
1980s,melodic hardcore,18
1980s,miami bass,18
1980s,musica popular paraense,18
1980s,norwegian singer-songwriter,18
1980s,nova musica pernambucana,18
1980s,pop peruano,18
1980s,space rock,18
1980s,supergroup,18
1980s,turkish metal,18
1980s,accordion,17
1980s,australian comedy,17
1980s,brazilian hardcore,17
1980s,british experimental,17
1980s,canzone genovese,17
1980s,classic azeri pop,17
1980s,comedy rock,17
1980s,dansk lovsang,17
1980s,early synthpop,17
1980s,experimental pop,17
1980s,garage rock,17
1980s,gothic post-punk,17
1980s,hindustani vocal,17
1980s,mexican rock-and-roll,17
1980s,operetta,17
1980s,paidika tragoudia,17
1980s,pirate,17
1980s,puerto rican folk,17
1980s,rap metal espanol,17
1980s,svensk lovsang,17
1980s,swedish blues,17
1980s,thai folk pop,17
1980s,arab groove,16
1980s,bomba y plena,16
1980s,california hardcore,16
1980s,classical cello,16
1980s,cuarteto,16
1980s,detskie pesni,16
1980s,dub poetry,16
1980s,dunedin sound,16
1980s,folclor colombiano,16
1980s,folclore salteno,16
1980s,italian soundtrack,16
1980s,jazz trio,16
1980s,luk thung,16
1980s,manila sound,16
1980s,movie tunes,16
1980s,musique guadeloupe,16
1980s,muzica crestina,16
1980s,nordnorsk musikk,16
1980s,oud,16
1980s,oulu indie,16
1980s,progressive bluegrass,16
1980s,rabindra sangeet,16
1980s,rap kreyol,16
1980s,southern soul blues,16
1980s,spanish classical,16
1980s,traditional country,16
1980s,berlin school,15
1980s,brazilian groove metal,15
1980s,czech classical,15
1980s,diva house,15
1980s,german country,15
1980s,harlem hip hop,15
1980s,jazz clarinet,15
1980s,jewish pop,15
1980s,louisiana blues,15
1980s,marathi devotional,15
1980s,metal mineiro,15
1980s,mexican classic rock,15
1980s,middle earth,15
1980s,musica andina colombiana,15
1980s,native american,15
1980s,new orleans blues,15
1980s,old-time,15
1980s,pagode novo,15
1980s,panamanian pop,15
1980s,polish synthpop,15
1980s,rock catala,15
1980s,sacramento indie,15
1980s,salsa colombiana,15
1980s,southern hip hop,15
1980s,spanish rockabilly,15
1980s,swedish singer-songwriter,15
1980s,toronto indie,15
1980s,afrobeat,14
1980s,anarcho-punk,14
1980s,austrian classical piano,14
1980s,canadian country,14
1980s,catalan folk,14
1980s,coldwave,14
1980s,colombian rock,14
1980s,cowboy western,14
1980s,dc hardcore,14
1980s,folklore chileno,14
1980s,german show tunes,14
1980s,griot,14
1980s,guitarra portuguesa,14
1980s,healing,14
1980s,jazz trombone,14
1980s,korean classical performance,14
1980s,laboratorio,14
1980s,martial industrial,14
1980s,musica nicaraguense,14
1980s,neoclassical darkwave,14
1980s,philly indie,14
1980s,polish punk,14
1980s,polynesian pop,14
1980s,russian folk,14
1980s,south african alternative,14
1980s,tagalog worship,14
1980s,venezuelan rock,14
1980s,women's music,14
1980s,world fusion,14
1980s,andean flute,13
1980s,appalachian folk,13
1980s,brazilian classical piano,13
1980s,british comedy,13
1980s,chilean indie,13
1980s,classical guitar,13
1980s,doom metal,13
1980s,dutch contemporary classical,13
1980s,folklore ecuatoriano,13
1980s,free jazz,13
1980s,hindustani instrumental,13
1980s,karadeniz turkuleri,13
1980s,korean pop,13
1980s,modern hard rock,13
1980s,noel quebecois,13
1980s,nu-cumbia,13
1980s,nz indie,13
1980s,poezja spiewana,13
1980s,pop minang,13
1980s,slowcore,13
1980s,soukous,13
1980s,vbs,13
1980s,baltic classical,12
1980s,bangla,12
1980s,british grindcore,12
1980s,carimbo,12
1980s,egyptian pop,12
1980s,environmental,12
1980s,folklore peruano,12
1980s,g funk,12
1980s,grave wave,12
1980s,harmonica jazz,12
1980s,highlife,12
1980s,jalsat,12
1980s,japanese classical piano,12
1980s,japanese instrumental,12
1980s,jazz drums,12
1980s,lithuanian rock,12
1980s,miami hip hop,12
1980s,musica afroperuana,12
1980s,neofolk,12
1980s,nordic classical piano,12
1980s,norwegian classical,12
1980s,orquesta tipica,12
1980s,peruvian punk,12
1980s,rock mineiro,12
1980s,rockabilly en espanol,12
1980s,rosary,12
1980s,russian heavy metal,12
1980s,russian jazz,12
1980s,russian thrash metal,12
1980s,south african country,12
1980s,south african gospel,12
1980s,theme,12
1980s,uilleann pipes,12
1980s,variete francaise,12
1980s,vintage norwegian pop,12
1980s,visor,12
1980s,zim urban groove,12
1980s,adoracao,11
1980s,big beat,11
1980s,chanson paillarde,11
1980s,christian a cappella,11
1980s,classic latvian pop,11
1980s,comedy,11
1980s,contemporary vocal jazz,11
1980s,country blues,11
1980s,dub punk,11
1980s,hip hop tuga,11
1980s,indian instrumental,11
1980s,indie pop,11
1980s,italian orchestra,11
1980s,italian progressive rock,11
1980s,kindie rock,11
1980s,kleinkunst,11
1980s,kwaito,11
1980s,malian blues,11
1980s,new orleans funk,11
1980s,p funk,11
1980s,panpipe,11
1980s,portuguese indie,11
1980s,punjabi pop,11
1980s,rock chapin,11
1980s,spirituals,11
1980s,swedish reggae,11
1980s,turkish alternative rock,11
1980s,ukrainian classical,11
1980s,victorian britain,11
1980s,yodeling,11
1980s,acoustic blues,10
1980s,adventista,10
1980s,barockinterpreten,10
1980s,brazilian indie,10
1980s,cantonese opera,10
1980s,chilean hardcore,10
1980s,classic italian folk pop,10
1980s,danish metal,10
1980s,deep latin alternative,10
1980s,dunedin indie,10
1980s,german pop rock,10
1980s,german thrash metal,10
1980s,indorock,10
1980s,italian mezzo-soprano,10
1980s,kritika,10
1980s,makossa,10
1980s,mbira,10
1980s,musica ayacuchana,10
1980s,musica lombarda,10
1980s,musiikkia lapsille,10
1980s,nuevo regional mexicano,10
1980s,nz singer-songwriter,10
1980s,piano blues,10
1980s,ska chileno,10
1980s,spanish folk,10
1980s,techno,10
1980s,traditional british folk,10
1980s,veena,10
1980s,vintage chanson,10
1980s,art song,9
1980s,australian post-punk,9
1980s,batak,9
1980s,beat italiano,9
1980s,belly dance,9
1980s,brazilian punk rock,9
1980s,cantonese worship,9
1980s,carnaval,9
1980s,classic anime,9
1980s,classic konkani pop,9
1980s,classical clarinet,9
1980s,dabke,9
1980s,danish jazz,9
1980s,disney,9
1980s,disney italiano,9
1980s,dusseldorf electronic,9
1980s,dutch indie,9
1980s,electro jazz,9
1980s,french jazz,9
1980s,french orchestra,9
1980s,german reggae,9
1980s,gothabilly,9
1980s,greek jazz,9
1980s,harlem renaissance,9
1980s,irish pub song,9
1980s,japanese power metal,9
1980s,kora,9
1980s,latvian rock,9
1980s,native american flute,9
1980s,navajo,9
1980s,nordic folk,9
1980s,norwegian jazz,9
1980s,nuevo flamenco,9
1980s,opera chorus,9
1980s,polish classical piano,9
1980s,polish hardcore,9
1980s,post-rock,9
1980s,prog quebec,9
1980s,punjabi folk,9
1980s,salsa choke,9
1980s,sesotho pop,9
1980s,soviet synthpop,9
1980s,street punk,9
1980s,swedish rock-and-roll,9
1980s,swiss metal,9
1980s,volkspop,9
1980s,american folk revival,8
1980s,bandoneon,8
1980s,baroque singing,8
1980s,blues latinoamericano,8
1980s,cali rap,8
1980s,canadian celtic,8
1980s,chicago hardcore,8
1980s,chicago house,8
1980s,chicago punk,8
1980s,christian alternative rock,8
1980s,classical countertenor,8
1980s,cumbia colombiana regia,8
1980s,cumbia lagunera,8
1980s,danish hip hop,8
1980s,deep house,8
1980s,dutch prog,8
1980s,finnish metal,8
1980s,folk brasileiro,8
1980s,french oi,8
1980s,guitarra clasica,8
1980s,gypsy jazz,8
1980s,hyphy,8
1980s,instrumental bluegrass,8
1980s,instrumental funk,8
1980s,instrumental soul,8
1980s,japanese folk,8
1980s,japanese garage rock,8
1980s,kundiman,8
1980s,lldm,8
1980s,mbalax,8
1980s,new beat,8
1980s,norwegian blues,8
1980s,nova canco,8
1980s,oakland hip hop,8
1980s,panamanian rock,8
1980s,radio symphony,8
1980s,rif,8
1980s,rock quebecois,8
1980s,samoan pop,8
1980s,sandalwood,8
1980s,shaabi,8
1980s,tecnobanda,8
1980s,telugu devotional,8
1980s,tuna,8
1980s,welsh rock,8
1980s,zillertal,8
1980s,african gospel,7
1980s,ballroom,7
1980s,banjo,7
1980s,bhangra,7
1980s,chamber pop,7
1980s,chunchaca,7
1980s,classic bhangra,7
1980s,classic nepali pop,7
1980s,classic persian pop,7
1980s,classical oboe,7
1980s,desert blues,7
1980s,dessin anime,7
1980s,festigal,7
1980s,finnish tango,7
1980s,german choir,7
1980s,german opera,7
1980s,hawaiian,7
1980s,ilahiler,7
1980s,italian indie pop,7
1980s,j-ambient,7
1980s,jamgrass,7
1980s,jig and reel,7
1980s,kompa,7
1980s,mandolin,7
1980s,melodic metal,7
1980s,modern jazz piano,7
1980s,modern salsa,7
1980s,moog,7
1980s,musica indigena latinoamericana,7
1980s,muzica populara,7
1980s,nepali pop,7
1980s,new orleans jazz,7
1980s,norwegian contemporary jazz,7
1980s,novelty,7
1980s,papuri,7
1980s,philly rap,7
1980s,polish thrash metal,7
1980s,pop quebecois,7
1980s,porro,7
1980s,reggae mexicano,7
1980s,rock gotico,7
1980s,romantico,7
1980s,salsa cubana,7
1980s,scottish folk,7
1980s,sitar,7
1980s,steampunk,7
1980s,string quartet,7
1980s,swamp pop,7
1980s,swiss black metal,7
1980s,tabla,7
1980s,tennessee experimental,7
1980s,timba,7
1980s,traditional folk,7
1980s,underground power pop,7
1980s,western swing,7
1980s,zydeco,7
1980s,alpine yodeling,6
1980s,argentine hardcore,6
1980s,azontobeats,6
1980s,belgian jazz,6
1980s,blues mexicano,6
1980s,brazilian blues,6
1980s,canadian punk,6
1980s,ccm,6
1980s,classic garage rock,6
1980s,comedia,6
1980s,corsican folk,6
1980s,danish choir,6
1980s,dark jazz,6
1980s,deep ragga,6
1980s,delta blues,6
1980s,dragspel,6
1980s,folklore paraguayo,6
1980s,garage house,6
1980s,j-pop girl group,6
1980s,jazz double bass,6
1980s,jazz rap,6
1980s,k-indie,6
1980s,louvor,6
1980s,musica cabo-verdiana,6
1980s,musica costena,6
1980s,neue deutsche todeskunst,6
1980s,norwegian experimental,6
1980s,norwegian folk,6
1980s,progressive metal,6
1980s,romanian classical piano,6
1980s,rumba catalana,6
1980s,sami,6
1980s,slam poetry,6
1980s,space age pop,6
1980s,string orchestra,6
1980s,surf music,6
1980s,swiss alternative rock,6
1980s,swiss country,6
1980s,tex-mex,6
1980s,uk dub,6
1980s,viola caipira,6
1980s,vocal house,6
1980s,yoik,6
1980s,accordeon,5
1980s,ambient techno,5
1980s,bansuri,5
1980s,belgian blues,5
1980s,cantautor catala,5
1980s,canterbury scene,5
1980s,carnatic instrumental,5
1980s,christmas instrumental,5
1980s,classic girl group,5
1980s,classic japanese jazz,5
1980s,classical horn,5
1980s,cumbia ecuatoriana,5
1980s,cumbia santafesina,5
1980s,cumbia villera,5
1980s,d-beat,5
1980s,deep adult standards,5
1980s,deep italo disco,5
1980s,dixieland,5
1980s,experimental vocal,5
1980s,faroese pop,5
1980s,fingerstyle,5
1980s,finnish blues,5
1980s,finnish indie,5
1980s,forro instrumental,5
1980s,geek rock,5
1980s,german indie,5
1980s,gospel italiano,5
1980s,guinean pop,5
1980s,hardingfele,5
1980s,harmonica blues,5
1980s,indian percussion,5
1980s,indie catala,5
1980s,jewish a capella,5
1980s,kentucky roots,5
1980s,klapa,5
1980s,latin ska,5
1980s,lute,5
1980s,medieval folk,5
1980s,new mexico music,5
1980s,northern irish punk,5
1980s,norwegian choir,5
1980s,partyschlager,5
1980s,perth indie,5
1980s,polyphonies corses,5
1980s,post-punk brasileiro,5
1980s,praise,5
1980s,psychedelic folk,5
1980s,rumba congolaise,5
1980s,samba-rock,5
1980s,sanfona,5
1980s,shabad,5
1980s,string folk,5
1980s,sunshine pop,5
1980s,swedish pop punk,5
1980s,swedish prog,5
1980s,syrian pop,5
1980s,tamil worship,5
1980s,tango cancion,5
1980s,transpop,5
1980s,turkish edm,5
1980s,turkish trap pop,5
1980s,twoubadou,5
1980s,uk americana,5
1980s,acid jazz,4
1980s,african reggae,4
1980s,afrofuturism,4
1980s,balkan classical piano,4
1980s,ballet class,4
1980s,bboy,4
1980s,belgian indie,4
1980s,bemani,4
1980s,bluegrass fiddle,4
1980s,bluegrass gospel,4
1980s,brazilian percussion,4
1980s,british jazz,4
1980s,canadian americana,4
1980s,cathedral choir,4
1980s,christchurch indie,4
1980s,classical harp,4
1980s,coupe-decale,4
1980s,czech folk,4
1980s,danish classical,4
1980s,detskie rasskazy,4
