decade,genres,count
1930s,jazz saxophone,2
1930s,jazz trumpet,2
1930s,kentucky mountain folk,2
1930s,mantra,2
1930s,mento,2
1930s,old school dancehall,2
1930s,old-time fiddle,2
1930s,pop dance,2
1930s,progressive house,2
1930s,progressive trance,2
1930s,progressive trance house,2
1930s,ragtime,2
1930s,sleep,2
1930s,soul,2
1930s,spanish baroque,2
1930s,swamp blues,2
1930s,traditional country,2
1930s,trance,2
1930s,uplifting trance,2
1930s,vintage spanish pop,2
1930s,west end,2
1930s,yodeling,2
1930s,afro dancehall,1
1930s,afropop,1
1930s,american folk revival,1
1930s,autonomous black metal,1
1930s,azontobeats,1
1930s,bebop,1
1930s,bossa nova,1
1930s,british black metal,1
1930s,british modern classical,1
1930s,carnaval cadiz,1
1930s,chicago blues,1
1930s,contemporary classical,1
1930s,cypriot pop,1
1930s,deep adult standards,1
1930s,doom metal,1
1930s,drone metal,1
1930s,dub,1
1930s,early reggae,1
1930s,exotica,1
1930s,french baroque,1
1930s,german renaissance,1
1930s,greek swing,1
1930s,historic piano performance,1
1930s,indie psych-pop,1
1930s,italian soundtrack,1
1930s,kolsche karneval,1
1930s,light music,1
1930s,lovers rock,1
1930s,marathi traditional,1
1930s,mpb,1
1930s,musica antigua,1
1930s,nigerian hip hop,1
1930s,nigerian pop,1
1930s,norsk lovsang,1
1930s,pagode,1
1930s,polish classical piano,1
1930s,post-doom metal,1
1930s,reggae,1
1930s,roots reggae,1
1930s,ska,1
1930s,soundtrack,1
1930s,space age pop,1
1930s,tin pan alley,1
1930s,uk doom metal,1
1930s,venezuelan metal,1
1930s,victorian britain,1
1930s,vintage gospel,1
1930s,vintage italian soundtrack,1
1940s,classic bollywood,2057
1940s,filmi,1801
1940s,ghazal,1261
1940s,sufi,1106
1940s,classic pakistani pop,656
1940s,desi pop,504
1940s,classical,408
1940s,classical performance,314
1940s,swing,311
1940s,tango,271
1940s,vocal jazz,265
1940s,adult standards,263
1940s,rebetiko,256
1940s,orchestral performance,250
1940s,vintage tango,245
1940s,classic tollywood,243
1940s,big band,240
1940s,lounge,233
1940s,canzone napoletana,226
1940s,classic italian pop,200
1940s,orchestra,200
1940s,stride,200
1940s,vintage italian pop,189
1940s,jazz,183
1940s,cool jazz,175
1940s,rabindra sangeet,170
